Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",61,"U.S.A. only, except where listed as an",E,"$3,346,481","$741,632",,"$4,088,113",$0,"$4,088,113"
"",,experimental population,,,,,,,
"",,"Condor, California (Gymnogyps californianus) -",,,,,,,
"",386,"U.S.A. (specific portions of Arizona, Nevada,",EXPN,"$86,097","$43,130",,"$129,227",$0,"$129,227"
"",,and Utah),,,,,,,
"",,"Condor, California (Gymnogyps californianus) -",,,,,,,
"",481,,PEXPN,"$78,318",$0,,"$78,318",$0,"$78,318"
"",,Pacific Northwest NEP,,,,,,,
"",,"Coot, Hawaiian (Fulica americana alai) -",,,,,,,
"",156,,E,"$113,113","$698,397",,"$811,510",$0,"$811,510"
"",,Wherever found,,,,,,,
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,,Federal Total,States Total,Species Total
"",,"Crane, hooded (Grus monacha) - Wherever",,,,,,,
"",1271,,E,$0,$20,,$20,$0,$20
"",,found,,,,,,,
"",,"Crane, Mississippi sandhill (Grus canadensis",,,,,,,
"",289,,E,"$250,000","$4,626",,"$254,626",$500,"$255,126"
"",,pulla) - Wherever found,,,,,,,
"",,"Crane, Siberian white (Grus leucogeranus) -",,,,,,,
"",1271,,E,$0,$20,,$20,$0,$20
"",,Wherever found,,,,,,,
"",,"Crane, whooping (Grus americana) - Wherever",,,,,,,
"",176,"found, except where listed as an experimental",E,"$412,802","$222,811",,"$635,613","$9,400","$645,013"
"",,population,,,,,,,
"",,"Crane, whooping (Grus americana) - U.S.A.",,,,,,,
"",675,"(CO, ID, FL, NM, UT, and the western half of",EXPN,$0,"$31,688",,"$31,688",$0,"$31,688"
"",,Wyoming),,,,,,,
"",,"Crane, whooping (Grus americana) - U.S.A.",,,,,,,
"",,"(AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA,",,,,,,,
"",189,,EXPN,"$241,500","$256,523",,"$498,023","$92,000","$590,023"
"",,"MI, MN, MS, MO, NC, NM, OH, SC, TN, UT,",,,,,,,
"",,"VA, WI, WV, western half of WY)",,,,,,,
"",,"Crane, whooping (Grus americana) - U.S.A",,,,,,,
"",660,,EXPN,"$33,720",$0,,"$33,720",$0,"$33,720"
"",,(Southwestern Louisiana),,,,,,,
"",,"Creeper, Hawaii (Oreomystis mana) - Wherever",,,,,,,
"",293,,E,"$143,883","$104,010",,"$247,893",$0,"$247,893"
"",,found,,,,,,,
"",,"Creeper, Molokai (Paroreomyza flammea) -",,,,,,,
"",738,,E,"$25,335",$0,,"$25,335",$0,"$25,335"
"",,Wherever found,,,,,,,
"",,"Creeper, Oahu (Paroreomyza maculata) -",,,,,,,
"",957,,E,"$11,914",$0,,"$11,914",$0,"$11,914"
"",,Wherever found,,,,,,,
"",,"Crow, Hawaiian (='alala) (Corvus hawaiiensis) -",,,,,,,
"",296,,E,"$132,467","$110,400",,"$242,867",$0,"$242,867"
"",,Wherever found,,,,,,,
"",,"Crow, Mariana (=aga) (Corvus kubaryi) -",,,,,,,
"",146,,E,"$861,882","$58,049",,"$919,931",$0,"$919,931"
"",,Wherever found,,,,,,,
"",,"Crow, white-necked (Corvus leucognaphalus) -",,,,,,,
"",1232,,E,"$2,000",$0,,"$2,000",$0,"$2,000"
"",,Wherever found,,,,,,,
"",,"Cuckoo, yellow-billed (Coccyzus americanus) -",,,,,,,
"",48,,T,"$499,562","$5,274,443",,"$5,774,005","$16,500","$5,790,505"
"",,Western U.S. DPS,,,,,,,
"",,"Curlew, Eskimo (Numenius borealis) -",,,,,,,
"",1255,,E,$629,$100,,$729,$0,$729
"",,Wherever found,,,,,,,
