Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,,Other Fed,,Federal Total,States Total,,Species Total
"",108,"Whale, humpback (Megaptera novaeangliae) - Mexico DPS",T,"$48,663",,"$1,509,421","$1,558,084",$0,,"$1,558,084"
"",114,"Whale, humpback (Megaptera novaeangliae) - Central America DPS",E,$0,,"$1,411,338","$1,411,338",$0,,"$1,411,338"
"",79,"Whale, killer (Orcinus orca) - Southern Resident DPS",E,$0,,"$2,329,103","$2,329,103","$8,385",,"$2,337,488"
"",29,"Whale, North Atlantic Right (Eubalaena glacialis) - Wherever found",E,$0,,"$8,848,633","$8,848,633","$94,564",,"$8,943,197"
"",158,"Whale, North Pacific Right (Eubalaena japonica) - Wherever found",E,$0,,"$832,185","$832,185",$0,,"$832,185"
"",101,"Whale, Sei (Balaenoptera borealis) - Wherever found",E,$0,,"$1,752,980","$1,752,980",$0,,"$1,752,980"
"",94,"Whale, sperm (Physeter catodon (=macrocephalus)) - Wherever found",E,"$3,600",,"$1,962,323","$1,965,923",$0,,"$1,965,923"
"",,"Wolf, gray (Canis lupus) - U.S.A.: All of AL, AR, CA, CO, CT, DE, FL,",,,,,,,,
"",,"GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND,",,,,,,,,
"",49,,E,"$3,377,433",,"$1,468,952","$4,846,385","$10,770",,"$4,857,155"
"",,"NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI,",,,,,,,,
"",,"and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.",,,,,,,,
"",208,"Wolf, gray (Canis lupus) - MN",T,"$20,000",,"$556,700","$576,700",$0,,"$576,700"
"",308,"Wolf, gray (Canis lupus) - WY, EXPN population",EXPN,"$1,871",,"$246,000","$247,871",$0,,"$247,871"
"",284,"Wolf, maned (Chrysocyon brachyurus) - Wherever found",E,$0,,"$302,000","$302,000",$0,,"$302,000"
"",,"Wolf, Mexican (Canis lupus baileyi) - Wherever found, except where",,,,,,,,
"",575,,E,$0,,"$65,700","$65,700",$0,,"$65,700"
"",,listed as an experimental population,,,,,,,,
"",,"Wolf, Mexican (Canis lupus baileyi) - U.S.A. (portions of AZ and",,,,,,,,
"",69,,EXPN,"$2,525,888",,"$80,200","$2,606,088","$368,975",,"$2,975,063"
"",,NM)see 17.84(k),,,,,,,,
"",,"Wolf, red (Canis rufus) - Wherever found, except where listed as an",,,,,,,,
"",314,,E,"$240,000",,$0,"$240,000",$0,,"$240,000"
"",,experimental population,,,,,,,,
"",170,"Wolf, red (Canis rufus) - U.S.A. (portions of NC and TN)",EXPN,"$772,500",,"$3,600","$776,100",$0,,"$776,100"
"",789,"Woodrat, Key Largo (Neotoma floridana smalli) - Wherever found",E,"$23,000",,"$5,339","$28,339",$0,,"$28,339"
"",,"Woodrat, riparian (=San Joaquin Valley) (Neotoma fuscipes riparia) -",,,,,,,,
"",1092,,E,"$8,350",,"$2,520","$10,870",$0,,"$10,870"
"",,Wherever found,,,,,,,,
