Group,Status,Scientific Name,Inverted Common Name,FWS 2017,Other Fed 2017,States 2017,Total 2017,Area
Flowering Plants,E,pittosporum napaliense ,ho`awa ,11845,0,0,11845, wherever found
Flowering Plants,E,pittosporum hawaiiense ,hoawa ,16891,13000,0,29891, wherever found
Flowering Plants,E,pittosporum halophilum ,hoawa ,11700,2000,0,13700, wherever found
Flowering Plants,E,crescentia portoricensis ,higuero de sierra ,13000,0,0,13000, wherever found
Flowering Plants,E,hibiscus clayi ,"hibiscus, clay's ",7420,0,0,7420, wherever found
Flowering Plants,E,exocarpos menziesii ,heau ,6140,2000,0,8140,
Flowering Plants,E,exocarpos luteolus ,heau ,24276,0,0,24276, wherever found
Flowering Plants,T,hudsonia montana ,"heather, mountain golden ",4500,0,0,4500, wherever found
Flowering Plants,T,hexastylis naniflora ,"heartleaf, dwarf-flowered ",4000,13463,0,17463, wherever found
Flowering Plants,E,hibiscadelphus woodii ,hau kuahiwi ,9475,0,0,9475, wherever found
Flowering Plants,E,hibiscadelphus hualalaiensis ,hau kuahiwi ,10398,0,0,10398, wherever found
Flowering Plants,E,hibiscadelphus giffardianus ,hau kuahiwi ,8327,2500,0,10827, wherever found
Flowering Plants,E,ptilimnium nodosum ,harperella ,41501,5910,22417,69828, wherever found
Flowering Plants,T,bulbophyllum guamense ,"halumtano, cebello ",64191,100,0,64291, wherever found
Flowering Plants,T,solidago houghtonii ,"goldenrod, houghton's ",47200,100,0,47300, wherever found
Flowering Plants,E,cyanea st.,haha ,14599,0,0,14599,johnii) 
Flowering Plants,E,cyanea shipmanii ,haha ,21385,13000,0,34385, wherever found
Flowering Plants,E,cyanea gibsonii ,haha ,7432,0,0,7432, wherever found
Flowering Plants,E,cyanea eleeleensis ,haha ,9344,0,0,9344, wherever found
Flowering Plants,E,cyanea duvalliorum ,haha ,6420,0,0,6420, wherever found
Flowering Plants,E,cyanea dunbariae ,haha ,9792,0,0,9792, wherever found
Flowering Plants,E,cyanea dolichopoda ,haha ,9344,0,0,9344, wherever found
Flowering Plants,E,cyanea crispa ,haha ,61153,0,0,61153, wherever found
Flowering Plants,E,cyanea copelandii ssp. haleakalaensis ,haha ,8124,41400,0,49524, wherever found
Flowering Plants,E,cyanea copelandii ssp. copelandii ,haha ,8223,0,0,8223, wherever found
Flowering Plants,E,cyanea calycina ,haha ,6421,13895,0,20316, wherever found
Flowering Plants,E,cyanea asplenifolia ,haha ,6067,62000,0,68067, wherever found
Flowering Plants,E,cyanea asarifolia ,haha ,7339,0,0,7339, wherever found
Flowering Plants,E,cyanea acuminata ,haha ,57087,0,0,57087, wherever found
Flowering Plants,T,grindelia fraxinipratensis ,"gumplant, ash meadows ",19548,100,0,19648, wherever found
Flowering Plants,E,pyne's ,"ground-plum, guthrie's ",11500,1028,0,12528,
Flowering Plants,E,xyris tennesseensis ,"grass, tennessee yellow-eyed ",8500,4339,5000,17839, wherever found
Flowering Plants,E,tuctoria mucronata ,"grass, solano ",8074,0,0,8074, wherever found
Flowering Plants,E,swallenia alexandrae ,"grass, eureka dune ",28240,50000,0,78240,
Flowering Plants,T,neostapfia colusana ,"grass, colusa ",21684,3259,0,24943, wherever found
Flowering Plants,E,cucurbita okeechobeensis ssp. okeechobeensis ,"gourd, okeechobee ",66500,500,200,67200, wherever found
Flowering Plants,T,ribes echinellum ,"gooseberry, miccosukee ",10000,0,200,10200, wherever found
Flowering Plants,E,lasthenia conjugens ,"goldfields, contra costa ",105778,98780,0,204558, wherever found
Flowering Plants,E,lasthenia burkei ,"goldfields, burke's ",9790,42700,0,52490, wherever found
Flowering Plants,T,solidago albopilosa ,"goldenrod, white-haired ",10000,0,0,10000, wherever found
Flowering Plants,E,cyanea glabra ,haha ,6934,0,0,6934, wherever found
Flowering Plants,E,cyanea stictophylla ,haha ,21844,3000,0,24844, wherever found
Flowering Plants,E,cyanea grimesiana ssp. grimesiana ,haha ,9984,0,0,9984, wherever found
Flowering Plants,E,cyanea hamatiflora ssp. carlsonii ,haha ,19248,0,0,19248, wherever found
Flowering Plants,E,cyanea rivularis ,haha ,10913,0,0,10913, wherever found
Flowering Plants,E,cyanea remyi ,haha ,10704,0,0,10704, wherever found
Flowering Plants,T,cyanea recta ,haha ,7288,0,0,7288, wherever found
Flowering Plants,E,cyanea purpurellifolia ,haha ,9539,0,0,9539, wherever found
Flowering Plants,E,cyanea profuga ,haha ,9640,0,0,9640, wherever found
Flowering Plants,E,cyanea procera ,haha ,10553,0,0,10553, wherever found
