Common Name,Scientific Name,Area,Group,Recovery Document Date,Status,Region,Recovery Actions
No common name,Phyllostegia wawrana,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,79.0
Heau,Exocarpos luteolus,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,79.0
Tar River spinymussel,Parvaspina steinstansana,Wherever found,Clams,1992-05-05,E,Southeast Region,14.0
Guam tree snail,Partula radiolata,Wherever found,Snails,2020-02-03,E,Pacific Region,
Yellowcheek Darter,Etheostoma moorei,Wherever found,Fishes,2018-07-05,E,Southeast Region,13.0
Armored snail,Marstonia pachyta,Wherever found,Snails,1994-07-01,E,Southeast Region,
Pacific sheath-tailed Bat,Emballonura semicaudata rotensis,Wherever found,Mammals,2020-02-03,E,Pacific Region,
Eastern indigo snake,Drymarchon couperi,Wherever found,Reptiles,2019-08-06,T,Southeast Region,
Candy darter,Etheostoma osburni,Wherever found,Fishes,2018-10-01,E,Northeast Region,
`Aiea,Nothocestrum peltatum,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
Pahrump poolfish,Empetrichthys latos,Wherever found,Fishes,1980-03-17,E,California/Nevada Region,58.0
Missouri bladderpod,Physaria filiformis,Wherever found,Flowering Plants,1988-04-07,T,Great Lakes-Big Rivers Region,8.0
Pa`iniu,Astelia waialealae,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,75.0
Quino checkerspot butterfly,Euphydryas editha quino (=E. e. wrighti),Wherever found,Insects,2020-01-29,E,California/Nevada Region,33.0
Casey's June Beetle,Dinacoma caseyi,Wherever found,Insects,2013-04-01,E,California/Nevada Region,
Yellowcheek Darter,Etheostoma moorei,Wherever found,Fishes,2018-07-05,E,Southeast Region,13.0
Na`ena`e,Dubautia waialealae,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,74.0
Mariana fruit Bat (=Mariana flying fox),Pteropus mariannus mariannus,Wherever found,Mammals,2010-03-30,T,Pacific Region,32.0
Kamakahala,Labordia helleri,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,77.0
Rota blue damselfly,Ischnura luta,Wherever found,Insects,2020-02-03,E,Pacific Region,
Pariette cactus,Sclerocactus brevispinus,Wherever found,Flowering Plants,2010-04-14,T,Mountain-Prairie Region,
Llanero Coqui,Eleutherodactylus juanariveroi,Wherever found,Amphibians,2019-05-29,E,Southeast Region,
Loggerhead sea turtle,Caretta caretta,Northwest Atlantic Ocean DPS,Reptiles,2009-01-16,T,Southeast Region,66.0
Appalachian monkeyface (pearlymussel),Theliderma sparsa,Wherever found,Clams,1984-07-09,E,Northeast Region,25.0
Florida bonneted bat,Eumops floridanus,Wherever found,Mammals,2019-01-30,E,Southeast Region,
